,advance,dire_win_rate
0,1.0,0.5
1,0.98,0.5
2,1.05,0.68
3,1.08,0.66
4,0.99,0.52
5,0.93,0.39
6,0.95,0.43
7,0.96,0.41
8,1.01,0.56
9,1.03,0.64
10,1.06,0.69
11,1.14,0.82
12,1.13,0.79
13,1.04,0.63
14,1.02,0.57
15,1.07,0.64
16,1.09,0.69
17,0.92,0.35
18,0.97,0.41
19,0.94,0.37
20,1.1,0.73
21,1.11,0.8
22,1.24,0.89
23,1.33,0.83
24,1.27,0.85
25,1.19,0.82
26,1.16,0.79
27,1.12,0.78
28,1.22,0.84
29,1.21,0.85
30,1.23,0.83
31,1.18,0.85
32,1.15,0.77
33,0.76,0.1
34,0.88,0.27
35,0.87,0.25
36,0.79,0.15
37,0.84,0.21
38,0.85,0.27
39,0.81,0.14
40,0.83,0.19
41,0.82,0.18
42,0.75,0.07
43,1.4,0.91
44,0.91,0.35
45,1.17,0.86
46,1.26,0.89
47,1.3,0.78
48,1.38,0.73
49,0.86,0.29
50,0.89,0.3
51,0.9,0.32
52,1.29,0.92
53,1.37,0.94
54,1.28,0.86
55,1.32,0.89
56,1.31,0.86
57,1.2,0.78
58,0.71,0.08
59,0.73,0.03
60,0.7,0.08
61,0.78,0.17
62,0.77,0.09
63,0.8,0.16
64,0.74,0.07
65,1.25,0.92
66,1.34,0.8
67,1.39,0.9
68,1.35,0.93
69,1.36,0.94
70,0.72,0.03
