hero,win,win_rate,kda,count,pick,ban,other,pick_rate,ban_rate,other_rate,attr,type
Morphling,21,0.5,5.350595238095238,42,42,62,297,0.10473815461346633,0.1546134663341646,0.7406483790523691,agi,Ranged
Bloodseeker,32,0.48484848484848486,4.353027191663554,66,66,144,191,0.16458852867830423,0.35910224438902744,0.4763092269326683,agi,Melee
Enchantress,19,0.5428571428571428,3.7160966810966807,35,35,150,216,0.08728179551122195,0.3740648379052369,0.5386533665835411,int,Ranged
Tusk,27,0.627906976744186,3.4767417261261304,43,43,13,345,0.10723192019950124,0.032418952618453865,0.8603491271820449,str,Melee
Brewmaster,21,0.5833333333333334,5.404936267436267,36,36,31,334,0.08977556109725686,0.0773067331670823,0.8329177057356608,str,Melee
Chen,31,0.62,2.77379784104784,50,50,198,153,0.12468827930174564,0.4937655860349127,0.38154613466334164,int,Ranged
Phantom Lancer,47,0.5595238095238095,4.930275544561259,84,84,162,155,0.20947630922693267,0.40399002493765584,0.3865336658354115,agi,Melee
Io,19,0.4222222222222222,3.1503231336564674,45,45,329,27,0.11221945137157108,0.8204488778054863,0.06733167082294264,str,Ranged
Axe,13,0.3939393939393939,2.801227728500456,33,33,35,333,0.08229426433915212,0.08728179551122195,0.830423940149626,str,Melee
Invoker,20,0.6060606060606061,6.004079254079254,33,33,38,330,0.08229426433915212,0.09476309226932668,0.8229426433915212,int,Ranged
Nature's Prophet,21,0.4375,2.8994603775853776,48,48,65,288,0.11970074812967581,0.16209476309226933,0.7182044887780549,int,Ranged
Rubick,5,0.19230769230769232,2.675018037518038,26,26,7,368,0.06483790523690773,0.017456359102244388,0.9177057356608479,int,Ranged
Pugna,23,0.5,3.5261718957371135,46,46,94,261,0.11471321695760599,0.2344139650872818,0.6508728179551122,int,Ranged
Windranger,45,0.42452830188679247,3.2958123899161644,106,106,55,240,0.26433915211970077,0.1371571072319202,0.5985037406483791,int,Ranged
Winter Wyvern,37,0.5441176470588235,3.4765963611551847,68,68,42,291,0.16957605985037408,0.10473815461346633,0.7256857855361596,int,Ranged
Mirana,80,0.6060606060606061,6.580176767676768,132,132,123,146,0.32917705735660846,0.30673316708229426,0.3640897755610973,agi,Ranged
Earthshaker,31,0.5849056603773585,3.615527920716601,53,53,24,324,0.13216957605985039,0.059850374064837904,0.8079800498753117,str,Melee
Ursa,23,0.4423076923076923,3.4688867222521074,52,52,50,299,0.12967581047381546,0.12468827930174564,0.7456359102244389,agi,Melee
Spectre,24,0.4528301886792453,5.023100955648125,53,53,58,290,0.13216957605985039,0.14463840399002495,0.7231920199501247,agi,Melee
Lina,45,0.5625,3.3075753413253417,80,80,70,251,0.19950124688279303,0.1745635910224439,0.6259351620947631,int,Ranged
Treant Protector,7,0.3888888888888889,2.041505602909111,18,18,9,374,0.04488778054862843,0.022443890274314215,0.9326683291770573,str,Melee
Huskar,13,0.4642857142857143,3.556779529993815,28,28,88,285,0.06982543640897755,0.2194513715710723,0.7107231920199502,str,Ranged
Undying,34,0.5,2.849507151345387,68,68,63,270,0.16957605985037408,0.1571072319201995,0.6733167082294265,str,Melee
Enigma,16,0.6153846153846154,3.974908424908425,26,26,43,332,0.06483790523690773,0.10723192019950124,0.827930174563591,int,Ranged
Silencer,36,0.5142857142857142,2.9173848175633887,70,70,114,217,0.1745635910224439,0.28428927680798005,0.5411471321695761,int,Ranged
Magnus,19,0.5588235294117647,3.849329428741194,34,34,37,330,0.08478802992518704,0.09226932668329177,0.8229426433915212,str,Melee
Clinkz,28,0.4827586206896552,5.728489326765188,58,58,61,282,0.14463840399002495,0.15211970074812967,0.7032418952618454,agi,Ranged
Storm Spirit,29,0.48333333333333334,4.827383357383357,60,60,57,284,0.14962593516209477,0.14214463840399003,0.7082294264339152,int,Ranged
Crystal Maiden,30,0.5084745762711864,2.4425784667310095,59,59,40,302,0.14713216957605985,0.09975062344139651,0.7531172069825436,int,Ranged
Templar Assassin,29,0.5686274509803921,4.886575135104547,51,51,76,274,0.12718204488778054,0.18952618453865336,0.683291770573566,agi,Ranged
Vengeful Spirit,49,0.5384615384615384,2.546026701876735,91,91,37,273,0.22693266832917705,0.09226932668329177,0.6807980049875312,agi,Ranged
Necrophos,25,0.43859649122807015,3.569770848060321,57,57,114,230,0.14214463840399003,0.28428927680798005,0.57356608478803,int,Ranged
Earth Spirit,12,0.5217391304347826,3.20963125039212,23,23,4,374,0.057356608478802994,0.00997506234413965,0.9326683291770573,str,Melee
Drow Ranger,30,0.6818181818181818,4.9319141086186535,44,44,85,272,0.10972568578553615,0.2119700748129676,0.6783042394014963,agi,Ranged
Terrorblade,9,0.47368421052631576,4.240246449456976,19,19,11,371,0.04738154613466334,0.02743142144638404,0.9251870324189526,agi,Melee
Kunkka,19,0.48717948717948717,5.323656898656898,39,39,45,317,0.09725685785536159,0.11221945137157108,0.7905236907730673,str,Melee
Batrider,16,0.6153846153846154,4.006635031635032,26,26,23,352,0.06483790523690773,0.057356608478802994,0.8778054862842892,int,Ranged
