name,team_tag,hero_num
33,NiP,24
Ceb,OG,22
zai,Secret,21
busen,OG,20
JerAx,OG,19
CCnC,test123,19
Archangel,paiN,19
MidOne,Secret,19
nongrata`,Winstrike,18
EternaLEnVy,PU,18
N0tail,OG,17
Miracle-,Liquid,17
BoBoKa,Aster,17
SumaiL,EG,17
Fata,NiP,17
Sneyking,PU,17
Cr1t-,EG,17
Raven,LOTAC,16
Tims,TNC,16
rtz,EG,16
Mr. Kingão,paiN,16
Abed,Fnatic,16
MSS-,FWD,16
Xxs,Aster,15
No[o]ne-,VP,15
Srf,RNG,15
ana,kitrak99,15
Peterpandam,NiP,15
Chalice,PSG.LGD,15
Iceberg,Winstrike,15
Silent,Winstrike,15
s4,EG,15
Q,,15
Ace,NiP,15
9pasha,VP,15
fy,PSG.LGD,14
Nofear,Winstrike,14
Costabile,WP,14
KuroKy,Liquid,14
w33,paiN,14
Duster,SUNGA777,14
Kuku^,TNC,14
ARMEL,TNC,14
xNova,PSG.LGD,13
小可,PSG.LGD,13
Sccc,Newbee,13
AWF,Winstrike,13
XinQ,Serenity,13
MinD_ContRoL,Liquid,13
RAMZeS666,VP,13
Resolut1on,FWD,13
tavo,paiN,12
SVG,FWD,12
Puppey,Secret,12
SamH,DTN,12
MATUMBAMAN,Liquid,12
happy,,12
Ameame,PSG.LGD,12
JAbz,Fnatic,12
Universe,FWD,12
MP,Fnatic,12
RodjER,VP,11
DJ,Fnatic,11
YawaR,FWD,11
Mushi-,Mineski,11
Moonn,Mineski,11
YapzOr,Secret,11
old eLeVeN,KG,11
ritsu,test123,11
剑来！,Newbee,11
FoREv,J.Storm,11
XCJ,Serenity,11
Ryoya,TEAMTEAM,11
Topson,OG,11
Kamma,DBG,11
Pyw,Serenity,11
Fly,EG,11
MiLAN,J.Storm,10
k`wonderkid,Tigers,10
MoonMeander,Tigers,10
Moo,J.Storm,10
pieliedie,Mineski,10
458,496,10
Limmp,coL,10
zhizhizhi,Serenity,10
Black^,,10
iceiceice,Fnatic,9
Sylar,Aster,9
Moogy,Newbee,9
G,Empire,9
343,RNG,9
4dr <3 Déia,paiN X,9
Paparazi灬,VG,9
LaNm,DBG,9
KheZu,Vega,9
Madara,Vega,9
kpii,Mineski,9
misery,paiN,9
Velo,WG.Unity,9
Nisha,Secret,9
Yang,VG,9
DuBu,IMT,9
Faith,Newbee,8
Fade,VG,8
1437,,8
kaka,KG,8
Febby♥金佳暎,Mineski,8
Patos,NG,8
AtuunN,ThunderP,8
Solo,VP,8
Pingvincek,BS,8
HeStEJoE-RoTTeN,TSpirit,8
ddc,TR,8
Monet,RNG,8
Zyd,Serenity,8
Ori,VG,8
Stan King,,7
633,Espada,7
Nix,Espada,7
"roddgeee,",Serenity,7
Benjaz,WP,7
- ah fu -,RNG,7
Gh,Liquid,7
closetboy,V,7
| Draken-_-,LAB,7
FLee-,VGJ,7
BSJ,RNS,7
Fenrir,Aster,7
ky xY`,CG,7
kingteka,Pmakers,7
SaintDeLucaz,BOOM,7
keyser, ,7
Saksa,NiP,7
Sammyboy,TEAMTEAM,7
Zfreek,coL,7
Jenkins,LvT,6
jobeeEZy,,6
Bashruk,,6
Mastermind,BU,6
Kzee_,MK,6
Biver,TSpirit,6
PABLO,DTN,6
kacor,,6
Prada,ThunderP,6
Mikey,,6
ninjaboogie,,6
NoiA,CG,6
Xepher,Tigers,6
Illidan Stormrage SF46,HG,6
DOGsoy,AR,6
felixciaoba,WG.Unity,6
Fervian,TPB,6
Fervian,BOOM,6
iLTW,Espada,6
Era,TFT,6
James,FTD,6
Biryu,King,6
kid,King,6
Scofield,Infamous,6
Lelis,test123,6
FLYSOLo,neon,6
DkPhobos,DTS,6
slad1n-,G-pride,5
Handsken,TFT,5
canceL^^,King,5
Exotic_Deer,,5
Misha,Espada,5
Cooman,Empire,5
solen,Peach Bay,5
my,AR,5
Boxi,Alliance,5
eL lisaSh,,5
Luciano,SGD,5
idc,IP,5
天命,EHOME,5
Jonassomfan,TFT,5
Newsham,TEAMTEAM,5
iNSaNia,Alliance,5
Fng,TSpirit,5
Ranpo,SGD,5
BaiduKING,,5
1301,rb,5
miCKe,Alliance,5
lover,Aster,5
Boomsoy,AR,5
kingr-,Gambit,4
Khezcute,BOOM,4
Accel丶Koala,Pmakers,4
一,KG,4
p4pita,Infamous,4
Net,,4
chshrct,PVG,4
Panthera,Pmakers,4
qojqva,Alliance,4
YamateH,LOTAC,4
Super,TG,4
Dark,KG,4
Matthew~,ThunderP,3
Pikachu,FCDB,3
123,,3
123,CDEC,3
K D,Newbee.Y,3
Sword,Pmakers,3
Eve,,3
430,,3
Frost,TFT,3
jiajia,,3
VANSKOR,Gambit,3
Mad,Royal,3
Sooths,,3
Meracle-,RSG,3
Ohaiyo,LFY,3
leo,WP,2
Ghostik, Ødium,2
clownchello,,2
super,,2
InJuly,IG,2
lol?,PVG,2
rZs,MIDAS,2
Chu,Na`Vi,2
@dogf1ghts,IG,2
fn,,2
Miposhka,Empire,2
0ld_AKyJlbi4,Gambit,2
UnderShock,BU,1
W_Zayac,Vega,1
Flow,A11,1
Blizzy,,1
Slayer, Ødium,1
Palantimos,PVG,1
Sonic,A11,1
tw.tv/ark_dota,Afk20,1
SoNNeikO,Na`Vi,1
