,duration,teams
0,65,dire
1,45,radiant
2,25,radiant
3,35,dire
4,30,dire
5,35,dire
6,50,dire
7,30,radiant
8,30,dire
9,60,radiant
10,40,dire
11,30,radiant
12,35,radiant
13,30,dire
14,30,radiant
15,55,radiant
16,45,dire
17,30,radiant
18,50,dire
19,40,dire
20,45,radiant
21,50,radiant
22,35,radiant
23,35,radiant
24,30,dire
25,55,dire
26,30,radiant
27,25,radiant
28,30,dire
29,30,dire
30,30,dire
31,40,dire
32,50,dire
33,40,dire
34,55,radiant
35,25,radiant
36,30,radiant
37,35,dire
38,40,radiant
39,55,dire
40,45,dire
41,40,dire
42,35,radiant
43,45,radiant
44,55,radiant
45,25,radiant
46,25,radiant
47,30,radiant
48,35,radiant
49,35,radiant
50,40,radiant
51,35,dire
52,50,dire
53,55,radiant
54,25,dire
55,35,dire
56,75,dire
57,45,dire
58,30,dire
59,45,dire
60,35,radiant
61,40,radiant
62,40,radiant
63,20,radiant
64,30,radiant
65,30,dire
66,30,dire
67,40,dire
68,35,radiant
69,40,radiant
70,25,dire
71,35,radiant
72,25,radiant
73,30,dire
74,40,dire
75,30,radiant
76,15,radiant
77,35,dire
78,35,radiant
79,50,dire
80,35,dire
81,45,dire
82,25,radiant
83,55,dire
84,55,radiant
85,40,dire
86,50,radiant
87,40,radiant
88,40,radiant
89,40,radiant
90,35,radiant
91,35,dire
92,35,radiant
93,35,dire
94,30,radiant
95,20,radiant
96,60,dire
97,40,radiant
98,40,radiant
99,25,radiant
100,30,dire
101,35,dire
102,30,radiant
103,30,radiant
104,30,radiant
105,35,dire
106,45,radiant
107,35,radiant
108,50,dire
109,40,radiant
110,45,dire
111,30,radiant
112,15,dire
113,35,dire
114,25,radiant
115,35,dire
116,30,radiant
117,35,dire
118,50,dire
119,30,radiant
120,40,dire
121,50,radiant
122,50,dire
123,30,dire
124,45,dire
125,15,radiant
126,45,dire
127,30,radiant
128,30,dire
129,25,radiant
130,40,dire
131,15,radiant
132,25,radiant
133,45,radiant
134,25,radiant
135,20,radiant
136,30,dire
137,30,dire
138,60,dire
139,45,dire
140,35,radiant
141,25,radiant
142,35,radiant
143,35,radiant
144,30,dire
145,50,dire
146,55,dire
147,50,dire
148,65,radiant
149,40,dire
150,30,radiant
151,40,radiant
152,25,radiant
153,30,radiant
154,35,radiant
155,35,dire
156,55,dire
157,40,radiant
158,50,dire
159,40,dire
160,40,dire
161,40,dire
162,30,dire
163,35,dire
164,30,radiant
165,30,dire
166,25,dire
167,40,radiant
168,50,dire
169,30,dire
170,35,radiant
171,30,radiant
172,30,dire
173,50,radiant
174,45,radiant
175,20,radiant
176,35,radiant
177,35,radiant
178,35,dire
179,80,dire
180,35,radiant
181,30,radiant
182,30,radiant
183,25,radiant
184,40,radiant
185,45,dire
186,45,dire
187,30,radiant
188,30,dire
189,45,radiant
190,35,radiant
191,30,radiant
